prefecture,zone_admin,Type d'offre,Type de bien,zone,prix,surface_m2,prix_m2_officiel,source,date_annonce,annee,trimestre,periode
GOLFE,ZONE 1,VENTE,TERRAIN,quartier administratif,50000000,600,83333,valeursvenales,,2025,4,2025-12
GOLFE,ZONE 1,VENTE,TERRAIN,wetirivikondji,50000000,600,83333,valeursvenales,,2025,4,2025-11
GOLFE,ZONE 1,VENTE,TERRAIN,adoboukome,50000000,600,83333,valeursvenales,,2026,1,2026-01
GOLFE,ZONE 1,VENTE,TERRAIN,abobokome,50000000,600,83333,valeursvenales,,2026,1,2026-02
GOLFE,ZONE 1,VENTE,TERRAIN,zanguera,50000000,600,83333,valeursvenales,,2025,4,2025-11
GOLFE,ZONE 1,VENTE,TERRAIN,koketime,50000000,600,83333,valeursvenales,,2026,1,2026-02
GOLFE,ZONE 1,VENTE,TERRAIN,agbadahonou,50000000,600,83333,valeursvenales,,2026,1,2026-01
GOLFE,ZONE 1,VENTE,TERRAIN,adawlato,50000000,600,83333,valeursvenales,,2025,4,2025-12
GOLFE,ZONE 1,VENTE,TERRAIN,beniglato,50000000,600,83333,valeursvenales,,2025,4,2025-11
GOLFE,ZONE 1,VENTE,TERRAIN,aguiarkome,50000000,600,83333,valeursvenales,,2026,1,2026-02
GOLFE,ZONE 1,VENTE,TERRAIN,freau jardin,50000000,600,83333,valeursvenales,,2026,1,2026-02
GOLFE,ZONE 2,VENTE,TERRAIN,kodjoviakope,40000000,600,66667,valeursvenales,,2025,4,2025-12
GOLFE,ZONE 2,VENTE,TERRAIN,nyeconakpoe,40000000,600,66667,valeursvenales,,2025,4,2025-11
GOLFE,ZONE 2,VENTE,TERRAIN,octaviano netime,40000000,600,66667,valeursvenales,,2026,1,2026-01
GOLFE,ZONE 2,VENTE,TERRAIN,hanoukope,40000000,600,66667,valeursvenales,,2025,4,2025-12
GOLFE,ZONE 2,VENTE,TERRAIN,doulassame,40000000,600,66667,valeursvenales,,2025,4,2025-12
GOLFE,ZONE 2,VENTE,TERRAIN,amoutive,40000000,600,66667,valeursvenales,,2025,4,2025-11
GOLFE,ZONE 2,VENTE,TERRAIN,lomnava,40000000,600,66667,valeursvenales,,2025,4,2025-12
GOLFE,ZONE 2,VENTE,TERRAIN,kpehenou,40000000,600,66667,valeursvenales,,2026,1,2026-01
GOLFE,ZONE 2,VENTE,TERRAIN,bassadji,40000000,600,66667,valeursvenales,,2026,1,2026-02
GOLFE,ZONE 2,VENTE,TERRAIN,be apeyeme,40000000,600,66667,valeursvenales,,2026,1,2026-01
GOLFE,ZONE 2,VENTE,TERRAIN,souza netime,40000000,600,66667,valeursvenales,,2025,4,2025-11
GOLFE,ZONE 2,VENTE,TERRAIN,anthonio netime,40000000,600,66667,valeursvenales,,2025,4,2025-11
GOLFE,ZONE 3,VENTE,TERRAIN,kotokou kondji,25000000,600,41667,valeursvenales,,2025,4,2025-12
GOLFE,ZONE 3,VENTE,TERRAIN,be ahligo,25000000,600,41667,valeursvenales,,2026,1,2026-01
GOLFE,ZONE 3,VENTE,TERRAIN,ablogame,25000000,600,41667,valeursvenales,,2025,4,2025-12
GOLFE,ZONE 3,VENTE,TERRAIN,wete,25000000,600,41667,valeursvenales,,2026,1,2026-02
GOLFE,ZONE 3,VENTE,TERRAIN,akodessewa,25000000,600,41667,valeursvenales,,2026,1,2026-01
GOLFE,ZONE 3,VENTE,TERRAIN,gbenyedji,25000000,600,41667,valeursvenales,,2026,1,2026-02
