source,reference,titre,offre,type_bien,quartier,ville,prix,piece,surface,url,date_annonce,annee,trimestre,periode
coinafrique_scraped,5780462,Vente villa duplex 5 chambres 2 salons pAgbalepedo iscine,vendre,Villa,Baguida,Lomé,190000000.0,5.0,,https://tg.coinafrique.com/annonce/villas/vente-villa-duplex-5-chambres-2-salons-pagbalepedo-iscine-5780462,,2026,2,2026-Q2
coinafrique_scraped,5784575,À VENDRE,vendre,,Baguida,Lomé,45000000.0,,,https://tg.coinafrique.com/annonce/villas/a-vendre-5784575,,2026,2,2026-Q2
coinafrique_scraped,5795729,Terrain 1 lot  -Yokoe,,Terrain,Baguida,Lomé,30000000.0,,1.0,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-yokoe-5795729,,2026,2,2026-Q2
coinafrique_scraped,5787883,Terrain 1lot  - Tokoin,,Terrain,Tokoin,Lomé,85000000.0,,1.0,https://tg.coinafrique.com/annonce/terrains/terrain-1lot-tokoin-5787883,,2026,2,2026-Q2
coinafrique_scraped,5797276,Terrain 4 lots de 2407 m² - Baguida,,Terrain,Baguida,Lomé,75000000.0,,4.0,https://tg.coinafrique.com/annonce/terrains/terrain-4-lots-de-2407-m-baguida-5797276,,2026,2,2026-Q2
coinafrique_scraped,5792157,Vente villa 2 chambres salon à  Sanguera,vendre,Villa,Baguida,Lomé,20000000.0,2.0,,https://tg.coinafrique.com/annonce/villas/vente-villa-2-chambres-salon-a-sanguera-5792157,,2026,2,2026-Q2
coinafrique_scraped,5779644,Terrain demi-lot au bord d'une rue de 28m à Avédji CEG.,,Terrain,Avédji,Lomé,20000000.0,,,https://tg.coinafrique.com/annonce/terrains/terrain-demi-lot-au-bord-dune-rue-de-28m-a-avedji-ceg-5779644,,2026,2,2026-Q2
coinafrique_scraped,5789057,Vente maison locative à Legbassito,vendre,Maison,Agoè,Lomé,55000000.0,,,https://tg.coinafrique.com/annonce/villas/vente-maison-locative-a-legbassito-5789057,,2026,2,2026-Q2
coinafrique_scraped,5794133,Location villa 3 chambres salon à Kégué,louer,Villa,Kégué,Lomé,300000.0,3.0,,https://tg.coinafrique.com/annonce/villas/location-villa-3-chambres-salon-a-kegue-5794133,,2026,2,2026-Q2
coinafrique_scraped,5782533,Terrain 1/4 lot - Togo,,Terrain,Baguida,Lomé,8500000.0,,4.0,https://tg.coinafrique.com/annonce/terrains/terrain-1-4-lot-togo-5782533,,2026,2,2026-Q2
coinafrique_scraped,5767269,Location villa duplex 5 pièces piscine et jardin Totsi,louer,Villa,Totsi,Lomé,2000000.0,5.0,,https://tg.coinafrique.com/annonce/villas/location-villa-duplex-5-pieces-piscine-et-jardin-totsi-5767269,,2026,2,2026-Q2
coinafrique_scraped,5764349,Vente maison - Adidogomé ségbé,vendre,Maison,Adidogomé,Lomé,35000000.0,,,https://tg.coinafrique.com/annonce/villas/vente-maison-adidogome-segbe-5764349,,2026,2,2026-Q2
coinafrique_scraped,5764356,Terrain 1 lot - Nukafu,,Terrain,Baguida,Lomé,60000000.0,,1.0,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-nukafu-5764356,,2026,2,2026-Q2
coinafrique_scraped,5794938,Terrain 2 lots  angle rue avec titre foncier personnel à Adetikopé lycée,,Terrain,Baguida,Lomé,25000000.0,,2.0,https://tg.coinafrique.com/annonce/terrains/terrain-2-lots-angle-rue-avec-titre-foncier-personnel-a-adetikope-lycee-5794938,,2026,2,2026-Q2
