source,reference,titre,offre,type_bien,localisation,prix,piece,surface,url
CoinAfrique,5795729,Terrain 1 lot  -Yokoe,,Terrain,Tino businessMembre depuis7 années19 Annonces,30 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-yokoe-5795729
CoinAfrique,5782558,Terrain 1/2 lot - Agoè,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,15 000 000 CFA,,2,https://tg.coinafrique.com/annonce/terrains/terrain-1-2-lot-agoe-5782558
CoinAfrique,5789057,Vente maison locative à Legbassito,vendre,,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,55 000 000 CFA,,,https://tg.coinafrique.com/annonce/villas/vente-maison-locative-a-legbassito-5789057
CoinAfrique,5794143,"Vente villa R+1 derrière le CEG TOTSI,",vendre,Villa,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,65 000 000 CFA,,,https://tg.coinafrique.com/annonce/villas/vente-villa-r1-derriere-le-ceg-totsi-5794143
CoinAfrique,5784567,Terrain 1 lot à Agbalépédo losso-simé,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,60 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-a-agbalepedo-losso-sime-5784567
CoinAfrique,5796227,Terrain  4 lots -  Adidopgomé,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,80 000 000 CFA,,4,https://tg.coinafrique.com/annonce/terrains/terrain-4-lots-adidopgome-5796227
CoinAfrique,5783825,Terrain 25ha Klogname,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,3 500 000 CFA,,,https://tg.coinafrique.com/annonce/terrains/terrain-25ha-klogname-5783825
CoinAfrique,5800562,Terrain 1lot angle rue TF Agbalepedo-Protestant,,Terrain,ANGEL'S OF SKY CONSTRUCTION IMTogo50 Annonces,80 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1lot-angle-rue-tf-agbalepedo-protestant-5800562
CoinAfrique,5793702,Vente immeuble à  Agoè Légbassito,vendre,Immeuble,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,80 000 000 CFA,,,https://tg.coinafrique.com/annonce/villas/vente-immeuble-a-agoe-legbassito-5793702
CoinAfrique,5539701,Location appartement  Agbavi non loin des rails côté plage,louer,Appartement,BG&ASSOCIÉ IMMOBILIER BMembre depuis2 années253 Annonces,150 000 CFA,,,https://tg.coinafrique.com/annonce/appartements/location-appartement-agbavi-non-loin-des-rails-cote-plage-5539701
CoinAfrique,5767269,Location villa duplex 5 pièces piscine et jardin Totsi,louer,Villa,FRANCO IMMOBILIERTogo1397 Annonces,2 000 000 CFA,5,,https://tg.coinafrique.com/annonce/villas/location-villa-duplex-5-pieces-piscine-et-jardin-totsi-5767269
CoinAfrique,5764349,Vente maison - Adidogomé ségbé,vendre,,FRANCO IMMOBILIERTogo1397 Annonces,35 000 000 CFA,,,https://tg.coinafrique.com/annonce/villas/vente-maison-adidogome-segbe-5764349
CoinAfrique,5764356,Terrain 1 lot - Nukafu,,Terrain,FRANCO IMMOBILIERTogo1397 Annonces,60 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-nukafu-5764356
CoinAfrique,5794938,Terrain 2 lots  angle rue avec titre foncier personnel à Adetikopé lycée,,Terrain,2A ImmobilierTogo136 Annonces,25 000 000 CFA,,2,https://tg.coinafrique.com/annonce/terrains/terrain-2-lots-angle-rue-avec-titre-foncier-personnel-a-adetikope-lycee-5794938
CoinAfrique,5779079,Location villa 3 pièces - Agoe Total État Major,louer,Villa,NAGOBA SERVICES TOGOTogo2886 Annonces,150 000 CFA,3,,https://tg.coinafrique.com/annonce/villas/location-villa-3-pieces-agoe-total-etat-major-5779079
CoinAfrique,5783115,Terrain 1 lot avec titre foncier à Agoè assiyeye poste,,Terrain,2A ImmobilierTogo136 Annonces,42 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-avec-titre-foncier-a-agoe-assiyeye-poste-5783115
CoinAfrique,5785215,Terrain 1/2 lot - Agoé,,Terrain,2A ImmobilierTogo136 Annonces,28 000 000 CFA,,2,https://tg.coinafrique.com/annonce/terrains/terrain-1-2-lot-agoe-5785215
CoinAfrique,5794882,Vente hôtel avec piscine sur 2 lot au bord du goudron vue sur la mer - Alogavi,vendre,,2A ImmobilierTogo136 Annonces,600 000 000 CFA,,2,https://tg.coinafrique.com/annonce/bureaux-et-commerces/vente-hotel-avec-piscine-sur-2-lot-au-bord-du-goudron-vue-sur-la-mer-alogavi-5794882
CoinAfrique,5779055,Vente maison 5 pièces à légbassito zone  des sœurs.avec titre foncier personnel,vendre,,NAGOBA SERVICES TOGOTogo2886 Annonces,19 000 000 CFA,5,,https://tg.coinafrique.com/annonce/villas/vente-maison-5-pieces-a-legbassito-zone-des-sursavec-titre-foncier-personnel-5779055
CoinAfrique,5780958,Terrain 1/2 lot - Zanguera maco.,,Terrain,2A ImmobilierTogo136 Annonces,13 000 000 CFA,,2,https://tg.coinafrique.com/annonce/terrains/terrain-1-2-lot-zanguera-maco-5780958
